comp,yr,conc,angle,radius,calc_x,calc_y
Chopin,1900,2,2.17769490760202,32,-18.2503243819188,26.2854648038557
Tchaikovsky,1900,2,2.17769490760202,34,-19.3909696557888,27.9283063540967
Beethoven,1901,2,2.15984494934298,38,-21.1116688547449,31.5958452674967
Chopin,1901,1,2.15984494934298,32,-17.7782474566273,26.6070275936814
Liszt,1901,1,2.15984494934298,33,-18.3338176896469,27.438497205984
Rubinstein,1901,2,2.15984494934298,23,-12.7781153594509,19.1238010829585
Schumann,1901,1,2.15984494934298,31,-17.2226772236077,25.7755579813789
Chopin,1902,1,2.14199499108395,32,-17.3005061585791,26.9201130505978
Grieg,1902,1,2.14199499108395,28,-15.1379428887567,23.5550989192731
Mozart,1902,1,2.14199499108395,37,-20.0037102458571,31.1263807147537
Saint-Saëns,1902,2,2.14199499108395,27,-14.5973020713011,22.7138453864419
Grieg,1903,1,2.12414503282492,28,-14.7150961143792,23.8215437439429
Liszt,1903,1,2.12414503282492,33,-17.3427918490897,28.0753908410755
Saint-Saëns,1903,2,2.12414503282492,27,-14.189556967437,22.9707743245163
Tchaikovsky,1903,3,2.12414503282492,34,-17.8683309960318,28.926160260502
Beethoven,1904,3,2.10629507456588,38,-19.3902612563142,32.6805411278926
Chopin,1904,1,2.10629507456588,32,-16.3286410579488,27.5204556866464
Grieg,1904,1,2.10629507456588,28,-14.2875609257052,24.0803987258156
Liszt,1904,4,2.10629507456588,33,-16.8389110910097,28.3804699268541
Schumann,1904,1,2.10629507456588,31,-15.8183710248879,26.6604414464387
Beethoven,1905,2,2.08844511630685,38,-18.8038569482442,33.0214318870332
Chopin,1905,1,2.08844511630685,32,-15.8348269037846,27.8075215890806
Grieg,1905,2,2.08844511630685,28,-13.8554735408115,24.3315813904455
Liszt,1905,4,2.08844511630685,33,-16.3296652445278,28.6765066387393
Rubinstein,1905,1,2.08844511630685,23,-11.3812818370952,19.9866561421516
Schumann,1905,1,2.08844511630685,31,-15.3399885630413,26.9385365394218
Beethoven,1906,2,2.07059515804782,38,-18.2114614953622,33.3518016035557
Brahms,1906,2,2.07059515804782,36,-17.252963521922,31.5964436244212
Chopin,1906,3,2.07059515804782,32,-15.3359675750418,28.0857276661522
Liszt,1906,4,2.07059515804782,33,-15.8152165617619,28.9634066557194
Mozart,1906,2,2.07059515804782,37,-17.7322125086421,32.4741226139885
Rubinstein,1906,2,2.07059515804782,23,-11.0227266945613,20.1866167600469
Saint-Saëns,1906,3,2.07059515804782,27,-12.9397226414415,23.6973327183159
Tchaikovsky,1906,4,2.07059515804782,34,-16.2944655484819,29.8410856452867
Chopin,1907,2,2.05274519978879,32,-14.8322220145634,28.3549852779137
Grieg,1907,3,2.05274519978879,28,-12.978194262743,24.8106121181745
Rubinstein,1907,2,2.05274519978879,23,-10.6606595729674,20.3801456685005
Tchaikovsky,1907,3,2.05274519978879,34,-15.7592358904736,30.1271718577833
Grieg,1908,2,2.03489524152975,28,-12.5332818817559,25.0383075560719
Rubinstein,1908,1,2.03489524152975,23,-10.2951958314424,20.5671812067734
Schumann,1908,2,2.03489524152975,31,-13.8761335119441,27.7209833656511
Tchaikovsky,1908,2,2.03489524152975,34,-15.2189851421322,30.4036591752302
Liszt,1909,2,2.01704528327072,33,-14.2423005684168,29.768387166907
Mendelssohn,1909,1,2.01704528327072,24,-10.3580367770304,21.6497361213869
Rachmaninoff,1909,2,2.01704528327072,35,-15.105470299836,31.5725318436893
Schumann,1909,2,2.01704528327072,31,-13.3791308369976,27.9642424901248
Beethoven,1910,5,1.99919532501169,38,-15.7857704940717,34.5660158234717
Grieg,1910,3,1.99919532501169,28,-11.6316203640528,25.4696958699265
Rachmaninoff,1910,1,1.99919532501169,35,-14.539525455066,31.8371198374081
Saint-Saëns,1910,2,1.99919532501169,27,-11.2162053510509,24.560063874572
Schumann,1910,1,1.99919532501169,31,-12.8778654030585,28.1985918559901
Tchaikovsky,1910,1,1.99919532501169,34,-14.1241104420641,30.9274878420536
Brahms,1911,2,1.98134536675265,36,-14.3680609388727,33.0084659573395
Liszt,1911,6,1.98134536675265,33,-13.1707225272999,30.2577604608946
MacDowell,1911,2,1.98134536675265,21,-8.38136888100905,19.2549384751147
Rachmaninoff,1911,1,1.98134536675265,35,-13.9689481350151,32.0915641251912
Rubinstein,1911,3,1.98134536675265,23,-9.1795944887242,21.0887421394114
Schumann,1911,1,1.98134536675265,31,-12.3724969195848,28.4239567965979
Beethoven,1912,4,1.96349540849362,38,-14.5419704298734,35.1074222354289
Brahms,1912,3,1.96349540849362,36,-13.7766035651432,33.2596631704063
Chopin,1912,4,1.96349540849362,32,-12.2458698356829,29.5641450403612
Grieg,1912,1,1.96349540849362,28,-10.7151361062225,25.868626910316
Rubinstein,1912,6,1.96349540849362,23,-8.80171894439706,21.2492292477596
Schumann,1912,2,1.96349540849362,31,-11.8631864033178,28.6402655078499
Tchaikovsky,1912,2,1.96349540849362,34,-13.0112367004131,31.4119041053837
Bach,1913,2,1.94564545023459,22,-8.05490692882434,20.4723832117313
Beethoven,1913,1,1.94564545023459,38,-13.9130210588784,35.3613891838995
Chausson,1913,1,1.94564545023459,4,-1.46452853251352,3.72225149304205
Grieg,1913,2,1.94564545023459,28,-10.2516997275946,26.0557604512944
Liszt,1913,5,1.94564545023459,33,-12.0823603932365,30.708574817597
Mendelssohn,1913,2,1.94564545023459,24,-8.7871711950811,22.3335089582523
Schumann,1913,3,1.94564545023459,31,-11.3500961269798,28.8474490710759
Tchaikovsky,1913,3,1.94564545023459,34,-12.4484925263649,31.6391376908575
Beethoven,1914,1,1.92779549197555,38,-13.2796388247657,35.6040895499909
Brahms,1914,4,1.92779549197555,36,-12.5807104655675,33.7301900999914
Grieg,1914,4,1.92779549197555,28,-9.78499702877475,26.2345922999933
Liszt,1914,1,1.92779549197555,33,-11.5323179267702,30.9193409249921
Paderewski,1914,2,1.92779549197555,5,-1.74732089799549,4.68474862499881
Rachmaninoff,1914,2,1.92779549197555,35,-12.2312462859684,32.7932403749917
Saint-Saëns,1914,1,1.92779549197555,27,-9.43553284917565,25.2976425749936
Schumann,1914,2,1.92779549197555,31,-10.833389567572,29.0454414749926
Beethoven,1915,5,1.90994553371652,38,-12.6420255310641,35.8354460063207
Brahms,1915,3,1.90994553371652,36,-11.9766557662713,33.9493699007248
Chopin,1915,7,1.90994553371652,32,-10.6459162366856,30.1772176895332
Grieg,1915,2,1.90994553371652,28,-9.31517670709986,26.4050654783415
Liszt,1915,3,1.90994553371652,33,-10.978601119082,31.1202557423311
MacDowell,1915,1,1.90994553371652,21,-6.9863825303249,19.8037991087562
Mozart,1915,1,1.90994553371652,37,-12.3093406486677,34.8924079535227
Rubinstein,1915,4,1.90994553371652,23,-7.65175229511775,21.689875214352
Saint-Saëns,1915,1,1.90994553371652,27,-8.98249182470344,25.4620274255436
Schumann,1915,3,1.90994553371652,31,-10.3132313542891,29.2341796367353
Tchaikovsky,1915,2,1.90994553371652,34,-11.3112860014784,32.063293795129
Beethoven,1916,6,1.89209557545749,38,-12.0003843293709,36.0553848398181
Chopin,1916,4,1.89209557545749,32,-10.1055868036808,30.3624293387942
Grieg,1916,4,1.89209557545749,28,-8.8423884532207,26.5671256714449
Liszt,1916,8,1.89209557545749,33,-10.4213863912958,31.3112552556315
Rubinstein,1916,2,1.89209557545749,23,-7.26339051514557,21.8229960872584
Saint-Saëns,1916,5,1.89209557545749,27,-8.52658886560567,25.6182997546076
Schumann,1916,7,1.89209557545749,31,-9.78978721606577,29.4136034219569
Tchaikovsky,1916,1,1.89209557545749,34,-10.7371859789108,32.2600811724689
Beethoven,1917,4,1.87424561719846,38,-11.3549196546257,36.2638359752108
Chopin,1917,2,1.87424561719846,32,-9.56203760389533,30.5379671370196
Grieg,1917,6,1.87424561719846,28,-8.36678290340842,26.7207212448922
Liszt,1917,2,1.87424561719846,33,-9.86085127901706,31.4922786100515
Mozart,1917,2,1.87424561719846,37,-11.056105979504,35.309524502179
Rubinstein,1917,5,1.87424561719846,23,-6.87271452779977,21.9491638797329
Saint-Saëns,1917,5,1.87424561719846,27,-8.06796922828669,25.7664097718603
Schumann,1917,2,1.87424561719846,31,-9.2632239287736,29.5836556639878
Tchaikovsky,1917,3,1.87424561719846,34,-10.1596649541388,32.4465900830834
